from_id,Bideford Community Hospital,NHS Nightingale Exeter,"Colin Campbell Court, Plymouth",Torbay & South Devon Community Diagnostic Centre,Tiverton - Lowman Way,Okehampton - Exeter Road Industrial Estate,Crediton - Lords Meadow,South Molton - Pathfields,Newton Abbott - Market Walk,Bovey Tracey - Blue Waters,Honiton - Devonshire Road,Exmouth - The Strand,Barnstaple - Archwood Retail Park,Ilfracombe - Wilder Road,Kingsbridge - Fore Street,Tavistock - Drake Road,Holsworthy - Underlane,Paignton - Hyde Road
East Devon 016B,69.13333,13.183333,52.816666,34.683334,29.183332,34.45,32.883335,48.15,27.9,24.9,20.283333,3.0,60.25,76.85,52.85,52.55,61.933334,34.95
East Devon 016C,69.683334,13.733334,53.366665,35.233334,29.733334,35.016666,33.433334,48.7,28.45,25.45,21.716667,1.9,60.816666,77.4,53.4,53.1,62.483334,35.516666
East Devon 016D,68.316666,12.366667,51.983334,33.866665,28.366667,33.633335,32.066666,47.333332,27.083334,24.083334,21.1,3.6833334,59.433334,76.03333,52.033333,51.716667,61.116665,34.133335
East Devon 017C,71.85,15.9,55.516666,37.383335,31.883333,37.166668,35.583332,50.85,30.6,27.6,21.5,9.233334,62.966667,79.55,55.55,55.25,64.65,37.666668
East Devon 017D,73.21667,17.25,56.883335,38.75,33.25,38.533333,36.95,52.216667,31.966667,28.966667,22.866667,10.6,64.333336,80.916664,56.916668,56.616665,66.01667,39.033333
East Devon 018A,71.23333,15.283334,54.916668,36.783333,31.283333,36.566666,34.983334,50.25,30.0,27.0,22.683332,4.4666667,62.366665,78.95,54.95,54.65,64.03333,37.066666
East Devon 018B,70.76667,14.816667,54.45,36.316666,30.816668,36.1,34.516666,49.783333,29.533333,26.533333,21.916666,3.8,61.9,78.48333,54.483334,54.183334,63.566666,36.6
East Devon 018C,70.683334,14.716666,54.35,36.216667,30.716667,36.0,34.416668,49.683334,29.433332,26.433332,22.6,3.1166666,61.8,78.38333,54.383335,54.083332,63.466667,36.5
East Devon 018D,71.21667,15.266666,54.9,36.766666,31.266666,36.533333,34.966667,50.233334,29.983334,26.983334,21.316668,4.616667,62.333332,78.933334,54.933334,54.633335,64.01667,37.05
East Devon 018E,71.316666,15.366667,55.0,36.866665,31.366667,36.633335,35.05,50.333332,30.083334,27.083334,20.966667,6.2166667,62.433334,79.01667,55.033333,54.733334,64.11667,37.133335
East Devon 019A,71.61667,15.666667,55.283333,37.15,31.666666,36.933334,35.35,50.633335,30.383333,27.383333,23.633333,1.35,62.733334,79.333336,55.333332,55.016666,64.416664,37.433334
East Devon 019B,70.683334,14.733334,54.35,36.233334,30.733334,36.0,34.433334,49.7,29.45,26.45,22.7,1.8166667,61.8,78.4,54.4,54.083332,63.483334,36.5
East Devon 019C,71.816666,15.866667,55.5,37.6,31.866667,37.15,35.566666,50.833332,30.583334,27.583334,23.833334,0.73333335,62.933334,79.53333,55.533333,55.233334,64.61667,37.65
East Devon 019D,70.583336,14.633333,54.266666,36.133335,30.633333,35.916668,34.333332,49.6,29.35,26.35,22.616667,1.8166667,61.716667,78.3,54.3,54.0,63.383335,36.416668
East Devon 020A,72.25,16.3,55.916668,38.016666,32.3,37.566666,35.983334,51.25,31.0,28.0,24.533333,1.9666667,63.366665,79.95,55.95,55.65,65.05,38.066666
East Devon 020B,73.03333,17.083334,56.7,38.566666,33.083332,38.35,36.766666,52.05,31.8,28.8,24.35,2.7666667,64.15,80.73333,56.733334,56.433334,65.833336,38.85
East Devon 020C,72.38333,16.416666,56.05,37.916668,32.416668,37.7,36.116665,51.383335,31.133333,28.133333,22.016666,4.95,63.5,80.083336,56.083332,55.783333,65.166664,38.2
East Devon 020D,72.15,16.2,55.816666,37.683334,32.2,37.466667,35.883335,51.166668,30.9,27.9,22.916666,3.6,63.266666,79.85,55.85,55.55,64.95,37.966667
East Devon 021A,57.216667,12.533334,54.033333,36.133335,17.833334,31.733334,15.65,36.266666,29.116667,26.116667,24.216667,26.216667,48.366665,64.95,54.066666,49.833332,61.616665,36.166668
East Devon 001C,80.86667,30.3,72.166664,54.033333,40.966667,53.816666,50.45,59.916668,47.266666,44.266666,18.583334,39.533333,72.03333,88.61667,72.21667,71.9,81.3,54.316666
East Devon 004D,65.55,26.366667,68.583336,50.45,25.633333,50.233334,42.45,44.6,43.683334,40.683334,14.183333,35.583332,56.7,73.3,68.63333,68.316666,77.71667,50.733334
East Devon 004E,58.883335,20.05,61.933334,43.8,18.983334,43.583332,34.283333,37.933334,37.016666,34.016666,15.5,31.866667,50.05,66.63333,61.966667,61.666668,71.05,44.083332
East Devon 004F,69.0,10.816667,52.683334,34.55,27.266666,34.333332,32.85,46.233334,27.766666,24.766666,10.216666,19.966667,58.333332,74.933334,52.716667,52.416668,61.8,34.816666
East Devon 005E,81.083336,31.633333,73.5,55.366665,41.183334,55.133335,51.783333,60.133335,48.583332,45.583332,20.016666,40.85,72.25,88.833336,73.53333,73.23333,82.61667,55.633335
East Devon 007E,80.566666,31.1,72.96667,54.833332,40.65,54.6,51.25,59.616665,48.05,45.05,19.483334,38.316666,71.71667,88.3,73.0,72.7,82.083336,55.1
East Devon 009C,76.96667,21.0,60.633335,42.5,36.583332,42.283333,40.7,55.533333,35.716667,32.716667,13.516666,22.2,67.65,84.23333,60.666668,60.366665,69.75,42.783333
East Devon 010C,81.166664,28.816668,68.433334,50.316666,41.25,50.083332,48.516666,60.216667,43.533333,40.533333,18.2,30.0,72.316666,88.916664,68.48333,68.166664,77.566666,50.583332
East Devon 010D,81.28333,28.933332,68.55,50.416668,41.366665,50.2,48.616665,60.333332,43.633335,40.633335,18.3,30.116667,72.433334,89.03333,68.583336,68.28333,77.683334,50.7
East Devon 010E,81.28333,28.933332,68.566666,50.666668,41.383335,50.216667,48.633335,60.333332,43.65,40.65,18.316668,30.133333,72.45,89.03333,68.6,68.3,77.683334,50.7
East Devon 011A,75.38333,19.433332,59.066666,40.933334,34.966667,40.716667,39.133335,53.916668,34.15,31.15,11.9,20.633333,66.03333,82.61667,59.1,58.8,68.183334,41.216667
East Devon 011B,74.3,18.35,57.983334,39.85,34.35,39.633335,38.05,53.316666,33.066666,30.066668,12.683333,19.55,65.433334,82.01667,58.016666,57.716667,67.1,40.133335
East Devon 011C,73.816666,17.866667,57.483334,39.35,33.866665,39.133335,37.55,52.816666,32.566666,29.566668,13.666667,19.05,64.933334,81.51667,57.516666,57.216667,66.61667,39.633335
East Devon 011D,74.96667,19.016666,58.633335,40.5,35.866665,40.283333,38.7,54.833332,33.733334,30.733334,12.8,20.183332,66.933334,83.51667,58.683334,58.366665,67.76667,40.783333
East Devon 012A,75.38333,19.433332,59.05,40.916668,35.433334,40.7,39.116665,54.383335,34.133335,31.133333,13.833333,20.616667,66.5,83.083336,59.083332,58.783333,68.183334,41.2
East Devon 012B,75.28333,19.333334,58.95,40.816666,35.333332,40.6,39.016666,54.283333,34.033333,31.033333,14.783334,20.516666,66.4,82.98333,58.983334,58.683334,68.083336,41.1
East Devon 012C,74.55,18.6,58.233334,40.1,34.6,39.883335,38.3,53.566666,33.316666,30.316668,13.416667,19.8,65.683334,82.26667,58.266666,57.966667,67.35,40.383335
East Devon 013C,65.166664,9.216666,48.85,30.716667,25.216667,30.5,28.916666,44.183334,23.933332,20.933332,18.016666,10.5,56.3,72.88333,48.883335,48.583332,57.966667,31.0
East Devon 014B,64.38333,8.433333,48.066666,30.166666,24.433332,29.716667,28.133333,43.4,23.15,20.15,19.383333,7.2,55.516666,72.1,48.1,47.8,57.183334,30.216667
East Devon 014C,67.433334,11.483334,51.1,33.216667,27.483334,32.75,31.166666,46.45,26.2,23.2,22.433332,7.3166666,58.55,75.13333,51.133335,50.833332,60.233334,33.25
Exeter 001C,61.916668,9.3,50.133335,32.0,21.533333,27.783333,15.383333,39.95,25.216667,22.166666,21.016666,22.233334,52.066666,68.65,50.166668,45.866665,55.266666,32.283333
Exeter 001D,62.183334,8.5,49.333332,31.2,22.983334,26.983334,15.666667,41.4,24.416666,21.366667,20.216667,21.433332,53.516666,70.1,49.366665,45.066666,54.466667,31.483334
Exeter 002A,67.35,7.116667,50.416668,32.283333,24.55,29.666666,20.816668,42.966667,25.5,22.5,18.816668,20.816668,55.083332,71.666664,50.45,47.75,57.3,32.55
Exeter 002B,64.86667,6.65,49.95,31.816668,24.083334,28.6,20.35,42.5,25.033333,22.433332,18.75,20.75,54.616665,71.2,49.983334,46.683334,56.083332,32.083332
Exeter 002C,66.833336,6.5833335,49.883335,31.75,24.016666,29.366667,20.3,42.433334,24.966667,21.966667,18.283333,20.283333,54.55,71.13333,49.916668,47.45,57.0,32.016666
Exeter 003A,62.166668,6.2166667,49.516666,31.383333,23.2,27.483334,18.966667,42.166668,24.6,21.6,17.9,19.916666,54.266666,70.86667,49.55,45.583332,54.966667,31.65
